Username,Comment,Date
k*****z,"Quality:superb
Performance:good

Just received it few days ago. Im happy with that.",2024-03-09
i*****i,"Performance:not bad
Quality:not bad

Ninjavan took forever to delivery,  domestic delivery so many days funny",2024-03-10
joelleli,Good purchase got extra discount voucher… fast delivery. Well packed and sealed,2024-03-20
n*****u,"Quality:good quality
Performance:good performance

Always super fast delivery from this seller, even pre order item ship out very fast, recommended!
Okay",2024-02-28
p*****a,"Quality:Excellent quality
Performance:excellent performance

Apple always Apple!",2024-02-21
s*****l,"Quality:Good
Performance:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-08
a*****a,Has been using it for a while. Received in good condition...,2024-03-15
ahkuai89,"Performance:ok isgood
Quality:ok,apple iPhone 15 pro max sudah sampai,bagusnya,saya pilih warna putih,memang puas hati.thanks you,semua selamat diterima.terima kasih.",2024-03-07
s*****n,"Performance:Good
Quality:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-02
s*****n,"Performance:Good
Quality:Good

Good quality, Fast delivery, Item received in good condition.",2024-03-02
muhammadkamaruddinmohdrazal,Performance:baru sampai. Beli masa payday sales. Murah berbanding harga asal. Tq itworld,2024-03-16
yunusemrea,"Quality:Perfection of the product

The packaging of the product was successful, it looked very protected, but when it comes to the shipping situation, it was seen as delivered to the customer, it was not delivered directly to the buyer, I think such an expensive product had to be delivered by hand. I am a student at the university and I stay outside and since there is no student mailbox, the products are left in a public area. There is no camera or security around, I mean anyone can come and take the product and leave. Shopee does not want to take this responsibility, I HOPE IT IS TAKEN INTO CONSIDERATION.",2024-03-17
rdhwnaziq,"Performance:Mantap
Quality:Original

Dapat harga jackpot dekat RM1.2k++ off. Tak tunggu lama terus sambar. Mana nak cari iphone 15pro max tapi harga 15pro. Pre-order tu pejam mata je, 3 hari sampai dah. Mantap Seller.",2024-03-23
danny3368,Thanks you,2024-03-09
jennywong1688,Thanks you,2024-03-09
jasonlee88,,2024-02-19
stupidkidz93,"Performance:good
Quality:good

Fast delivery",2023-12-20
c*****a,"Performance:good
Quality:good

Fast delivery",2024-03-10
j*****m,"Quality:nice
Performance:good

fast delivery",2023-11-01
i*****0,"Performance:Good
Quality:Good",2024-03-11
ms.heidi,"Performance:nice packing
Quality:nice packing",2024-01-10
h*****1,Yeayy dapat harga murah.,2024-03-03
vuihen82,Performance:fast n effiecent,2024-03-12
wb_0427,Received in 5days,2024-03-07
s*****s,Fast delivery,2024-03-10
myset72929m,Great packing..thanks,2024-03-04
c*****c,Fast delivery.,2024-02-19
scownz,Good..original..fast delivery...,2023-10-31
blzscm8wdj,Nice,2024-02-28
p*****a,Ninja van slow delivery,2024-03-11
a*****_,Ninjavan slow delivery,2024-03-11
seni4884,Product ori,2024-03-12
baitulfarah,Good,2024-02-29
gz9xalq1b6,Good,2024-03-02
j*****3,我一定会介绍给小伙伴的！经济实惠，物美价廉，质量非常好，非常满意，完全超出期望值，超级划算,2024-03-23
cheeyang17,"Quality:good

Nice And Fast",2024-03-21
dennizlim,,2024-02-21
angengting,Good purchase!,2024-03-22
h*****a,Superb and fast delivery 10⭐,2024-03-23
maywoo2832,美,2024-01-05
c2wtrading,,2024-03-07
desmond8929,,2024-03-11
jeffyoung1022,,2024-03-02
emilysie,Thanks you,2024-03-09
benjamin9838,Quality:everything ok,2024-02-18
kkxin,,2023-11-01
allychin882,,2023-11-29
digital_supply,,2023-10-15
machonacho,,2023-10-07
gowinn_store,,2023-10-09
smilykarmon,,2023-10-10
sharkafendy87,,2023-10-05
sopisaad,,2023-10-04
suhailyfaisa95,,2023-12-15
ayson,,2023-12-20
saton9,,2023-12-21
i*****t,,2024-01-19
sigala0226,,2024-01-19
a*****r,,2024-01-26
8sicarius8,,2024-02-01
i*****w,,2024-02-07
s*****3,,2024-02-20
black930,,2024-02-20
ufo_hijackers,,2024-02-20
seanlee75,,2024-02-23
t*****h,,2024-02-16
s*****1,,2024-02-19
kh_yong,,2024-02-27
chonwai88,,2024-02-29
p*****0,,2024-02-29
hong_soon,,2024-02-29
jetteohwj,,2024-02-28
sheong82,,2024-03-04
lim5366,,2024-03-02
wjietee,,2024-03-04
wansyawalhaffiez,,2024-03-09
ngkimlooi,,2024-03-08
alilaforh_maho21,,2024-03-08
cpleong99,,2024-03-07
mohamadikramaziz,,2024-03-07
k*****n,,2024-03-08
w*****e,,2024-03-07
alvinseah195,,2024-03-07
kuazwan23,,2024-03-08
ermaliyana97,,2024-03-10
ermaliyana97,,2024-03-10
ismailjalil1,,2024-03-12
shuang1212,,2024-03-15
noor_mohamad95,,2024-03-18
joshua0224,,2024-03-22
k*****n,,2024-03-03
vincent9180,,2024-03-07
thamcy89,,2024-03-08
jiajye78,,2023-12-29
edwardtow168,,2024-03-01
zaza_gadget,,2024-03-10
seni4884,,2024-03-12
nich0las,,2024-02-24
coffyme,,2023-12-29
kaseysoo,,2024-03-16
xiang11111111,,2023-10-13
renee89,,2024-03-07
wansyaz014,,2023-12-19
harmonyhealth,,2023-11-02
bioscienceuk,,2024-03-11
k*****7,,2024-03-12
y*****n,,2024-02-22
snlee709,,2024-03-14
dexter0532,,2024-03-02
alrafumatsu2,,2023-10-16
menghow333,,2024-02-25
y*****2,,2024-02-18
nanami8888,,2024-03-19
micko1013,,2024-03-01
c*****g,,2024-02-22
fiqfawdzan,,2024-03-13
fiqfawdzan,,2024-03-13
awqizar,,2023-12-24
kohlichian,,2024-03-09
i*****n,,2024-03-01
aliffeyzat,,2024-03-23
w*****m,,2024-03-10
dino7979,,2023-10-06
hc1234,,2023-11-26
jeeyan1993,,2024-03-03
cyyong95,,2024-02-19
zien_wong,,2024-01-02
m*****a,,2024-02-29
weirdoling94,,2024-02-21
ang2000,,2024-02-21
chipyaocherng,,2024-03-03
j*****d,,2024-03-20
ch3st3r,,2023-12-29
twlsteven,,2024-03-18
endlesssia,,2024-01-06
mengcheechun,,2024-03-05
peter2choong,,2024-03-08
atpco,,2024-02-24
sebi89,,2023-10-05
deonghq,,2023-10-09
mhd_shahmi,,2023-12-15
mr.oburn50,,2023-12-15
chengweirong,,2024-03-05
j*****r,,2024-02-05
j*****n,,2024-02-26
gavin8648,,2024-03-17
suhwa1126,,2024-03-11
khaledsaifullah,,2024-02-19
zhihangchen,,2024-03-19
limtl252489,,2024-02-21
lucasq3881,,2024-03-05
meigirl0220,,2024-03-09
j*****0,,2024-03-20
w*****5,,2023-12-02
ting_131313,,2024-01-22
ryanng0260,,2023-12-21
v*****w,,2023-12-16
luqmanimzan,,2024-03-19
sho_fukamachi,,2023-10-17
huisnuangyap,,2024-03-11
j*****6,,2024-02-19
l*****t,,2024-02-27
joey_07,,2024-02-21
ayusyamim,,2024-03-10
tobeg,,2023-10-26
edwinyip86,,2024-03-08
amipo0t_da,,2024-02-28
amipo0t_da,,2024-02-28
amipo0t_da,,2024-02-28
amipo0t_da,,2024-03-01
nicloo,,2024-03-05
chongchunjie,,2024-02-27
_shahreen,,2024-03-10
yihkae9724,,2024-03-23
jingcheng0625,,2024-03-11
gx4g1gxevd,,2024-02-21
smlee97,,2024-02-21
w*****5,,2024-03-12
leokfkp28,,2023-12-18
aresan11,,2024-02-28
farhannik5,,2023-12-11
chongwh1007,,2024-03-04
tf53521,,2024-02-22
yzj6111,,2024-03-08
fooruixuan,,2024-03-11
jasonmax00450,,2024-03-17
jasonmax00450,,2024-03-18
w*****a,,2024-01-29
thamcy44,,2024-02-29
liyan97,,2024-03-03
liyan97,,2024-03-03
liyan97,,2024-03-03
zx01222,,2024-03-12
terencefoo90,,2024-03-23
alvern_3030,,2024-03-02
winson9292,,2024-03-07
winson9292,,2024-03-09
lauhonghin,,2024-03-22
discovercollectibles,,2023-10-07
seesunnn01,,2023-11-13
shawnpym1994,,2023-12-06
jameskau88,,2023-12-17
,,2023-12-17
wongshiuhphin96,,2023-12-16
seif02,,2023-12-19
_1_0ycckz4,,2024-01-18
sdwong87,,2024-02-21
chanboontong,,2024-02-22
mayne97,,2024-02-25
cong53,,2024-02-24
p*****a,,2024-02-28
ting_sheng19,,2024-02-29
yevon0123,,2024-03-03
terence.ng24,,2024-03-04
chunnewso,,2024-03-04
chunnewso,,2024-03-04
chunnewso,,2024-03-04
chunnewso,,2024-03-04
haizathisam,,2024-03-06
cheongyujie,,2024-03-08
a*****0,,2024-03-10
a*****0,,2024-03-10
nguynannie582,,2024-03-09
nguynannie582,,2024-03-09
paul_1235,,2024-03-09
lsk87,,2024-03-09
nicoleteng331,,2024-03-10
hmlam75,,2024-03-10
nguynannie582,,2024-03-11
ho._.923,,2024-03-16
peiyonglee587,,2024-03-16
r*****r,,2024-03-18
r*****r,,2024-03-18
r*****r,,2024-03-18
p*****a,,2024-03-19
hugo1201,,2024-03-20
imfahim,,2024-03-21
jasonkhoo8899,,2024-02-17
shinestore12,,2023-10-31
dillarahman8,,2024-03-15
chongseethow,,2023-10-22
